Pred. Rate	Pred. DR	Pred. Yes/No Rate	Pred. WIP Rate
100.00%	100.00%	91.22%	8.78%
64.71%	54.18%	30.16%	24.03%
100.00%	100.00%	100.00%	0.00%
37.13%	17.65%	17.95%	0.00%
100.00%	100.00%	100.00%	0.00%
100.00%	100.00%	97.32%	2.68%
100.00%	100.00%	100.00%	0.00%
100.00%	100.00%	100.00%	0.00%
100.00%	100.00%	100.00%	0.00%
32.61%	11.76%	11.84%	0.00%
32.61%	11.76%	11.84%	0.00%
100.00%	100.00%	91.22%	8.78%
88.24%	83.52%	85.11%	0.00%
41.18%	24.85%	17.95%	6.91%
100.00%	100.00%	97.32%	2.68%
64.71%	54.18%	54.58%	0.00%
79.76%	73.58%	70.13%	3.59%
